timestamp,city,temperature,description
2025-12-09T10:07:57.197Z,Wisbech,12.07,overcast clouds
2025-12-09T10:15:54.205Z,Wisbech,12.07,overcast clouds
2025-12-09T10:28:53.322Z,Wisbech,12.24,overcast clouds
2025-12-09T10:44:40.271Z,Wisbech,12.81,overcast clouds
2025-12-09T11:19:36.673Z,Wisbech,12.99,overcast clouds
2025-12-09T11:45:36.934Z,London,13.63,broken clouds
2025-12-09T11:45:36.936Z,London,13.63,broken clouds
2025-12-09T11:47:20.868Z,London,13.7,broken clouds
2025-12-09T11:47:20.870Z,London,13.68,broken clouds
2025-12-09T12:56:05.429Z,London,14.23,overcast clouds
2025-12-09T12:56:05.431Z,London,14.23,overcast clouds
2025-12-09T14:28:50.236Z,London,13.79,overcast clouds
2025-12-09T14:28:50.239Z,London,13.79,overcast clouds
2025-12-09T16:34:09.077Z,London,13.86,broken clouds
2025-12-09T16:34:09.079Z,London,13.86,broken clouds
2025-12-09T18:35:03.084Z,London,13.94,broken clouds
2025-12-09T18:35:03.086Z,London,13.94,broken clouds
2025-12-09T20:26:41.286Z,London,13.2,scattered clouds
2025-12-09T20:26:41.289Z,London,13.2,scattered clouds
